"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7DDxxhExUBH53SFJqXDz4i","Beautiful","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:7h2OEj0ifXb3UdgvTmCqfY","Relapse","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2009-05-15","https://i.scdn.co/image/ab67616d0000b27363d5aec8186b37f4404b1d1d","1","17","392826","https://p.scdn.co/mp3-preview/b6fb20bf0b8c39d0278804d7bbbfcae909bfdff3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","USUM70964089","","2025-07-24T12:41:06Z"
"spotify:track:3Eb7WFJZTNw6vtla1mSj2b","Pale Blue Eyes","spotify:artist:1nJvji2KIlWSseXRSlNYsC","The Velvet Underground","spotify:album:2rc2iWwiLaYqw2v9LACPu0","The Velvet Underground (45th Anniversary / Super Deluxe)","spotify:artist:1nJvji2KIlWSseXRSlNYsC","The Velvet Underground","2014-11-24","https://i.scdn.co/image/ab67616d0000b27303a8c65d2a040290871b1a3f","1","4","339533","https://p.scdn.co/mp3-preview/b30c7c6d0d932c8b12c31671ba425ecef594a3e2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USPR36909016","","2025-07-19T22:06:13Z"
"spotify:track:59CLe8stbcx4XYBWdsfbwK","One Way Or Another","spotify:artist:4tpUmLEVLCGFr93o8hFFIB","Blondie","spotify:album:4M6s2jbhKWEcOdXZ8WiHts","Parallel Lines","spotify:artist:4tpUmLEVLCGFr93o8hFFIB","Blondie","1978-09-23","https://i.scdn.co/image/ab67616d0000b273ace2bedb8e6cfa04207d5c0f","1","2","217364","https://p.scdn.co/mp3-preview/e67491736b0c6848f7419498ba7b23af9e085952?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USCH38500014","","2025-07-19T17:33:13Z"
"spotify:track:3geRffSf6eAruhg23RkpKV","Drive","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","spotify:album:0BiNb8HYR4JvuxUa31Z58Q","Automatic For The People","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","1992-10-05","https://i.scdn.co/image/ab67616d0000b273ace3e7aae0b7c78bbe1c4f35","1","1","271333","https://p.scdn.co/mp3-preview/dc3e8976a6bf79ddc79c59768e69437a5c1d5b6c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USWB19901545","","2025-07-16T18:33:04Z"
"spotify:track:15qTTqTKYsqJRhz5GN5xLP","Refugee","spotify:artist:1AzrlUnOS6dhH0iMV86ctS","Oi Va Voi","spotify:album:6LQYWuzr7X20lFbR6wheSh","Laughter Through Tears","spotify:artist:1AzrlUnOS6dhH0iMV86ctS","Oi Va Voi","2003-09-29","https://i.scdn.co/image/ab67616d0000b273d3bddaa4be09c0bd15ef81b4","1","1","217693","https://p.scdn.co/mp3-preview/bbfb5514a09f3e72f5ae460c6096500a9e80ae64?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","GBDYB0300111","","2025-07-16T16:50:31Z"
"spotify:track:1ZuHYtEqENQBU33YfJeWx1","Which Side Are You on?","spotify:artist:73JEBdDEFeVaOLg3y0HhBD","Natalie Merchant","spotify:album:6ARdmVzwPoZ30LG0sP6REz","The House Carpenter's Daughter","spotify:artist:73JEBdDEFeVaOLg3y0HhBD","Natalie Merchant","2003-09-16","https://i.scdn.co/image/ab67616d0000b2732977f128bcb9f1c0697baef1","1","2","304306","https://p.scdn.co/mp3-preview/1a8f4d7c3bbf956c712707f806d4b2302fef801f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","TCAAW1148188","","2025-07-16T16:44:49Z"
"spotify:track:6uuDxHTCBy6mszYwyaL4IR","My Pretty Ballerina","spotify:artist:3qdI43jQWmvNtYuzZ2wOCo","The Animen","spotify:album:7cdUU2uw2UDGkEQc51H2UY","Hi!","spotify:artist:3qdI43jQWmvNtYuzZ2wOCo","The Animen","2014-01-17","https://i.scdn.co/image/ab67616d0000b273803782bf154f11f390a24b49","1","6","229812","https://p.scdn.co/mp3-preview/5073e6e61f8cb5f533200f1f716372ec0d19418d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","CH4931300026","","2025-07-15T19:21:36Z"
"spotify:track:4JWRos6zAz0GyBfCRoeC0C","Lost Highway","spotify:artist:7HK5eMsJv8xiiQbaywSKab","NightCrawl","spotify:album:6c8j9xTNn8Aay7WhbdqaHg","Lost Highway","spotify:artist:7HK5eMsJv8xiiQbaywSKab","NightCrawl","2025-06-13","https://i.scdn.co/image/ab67616d0000b2731b72ecadc61a98c28198f7d6","1","1","228480","https://p.scdn.co/mp3-preview/ccf9694bee7cc898e4881f2c1732b3fd77999c01?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","QZTAZ2534233","","2025-07-15T18:50:41Z"
"spotify:track:5iGnSeEF4pHTS1KVy9FCyb","Forest","spotify:artist:4IfG6PRxiHjQLCxJ6lb18o","Ibadet Ramadani","spotify:album:6RfnALUcgTfgdQWvTn07Ov","Ibadet Ramadani","spotify:artist:4IfG6PRxiHjQLCxJ6lb18o","Ibadet Ramadani","2023-11-10","https://i.scdn.co/image/ab67616d0000b27331a7aa267e432cb1e43872e7","1","6","193596","https://p.scdn.co/mp3-preview/7a7fe4abd5a4804b65a54191a735d17ed8cfe8d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","DEOV42300695","","2025-07-15T18:50:39Z"
"spotify:track:7pc6Qk8Ztt4zzgrz9Cx6ym","The Punchline","spotify:artist:4pRvDVEkPT0eKj7sOeklgo","The Wrote","spotify:album:0o2LyNGirDKMBaxuiwpvng","The Punchline","spotify:artist:4pRvDVEkPT0eKj7sOeklgo","The Wrote","2024-10-14","https://i.scdn.co/image/ab67616d0000b27391d9fadd616d5eeddb471b37","1","1","178312","https://p.scdn.co/mp3-preview/e8bca22a01386caae9b2bcdd953c44509b010012?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GX53U2379387","","2025-07-15T18:35:15Z"
