,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,track_id
2238,7e26e59b-750c-48d2-8a1f-5c04bbe7f598,0.465,0.664,0.88,1.63e-05,0.0591,-5.009,0.0326,133.898,0.895,7e26e59b-750c-48d2-8a1f-5c04bbe7f598
2239,3f82f9b0-8253-425f-ab66-a515a872ee43,0.0755,0.701,0.944,0.0,0.601,-2.986,0.0455,128.993,0.792,3f82f9b0-8253-425f-ab66-a515a872ee43
2240,38f21ed9-1d25-4d31-a180-3a02ce7ebe04,0.282,0.482,0.463,0.848,0.36,-7.927,0.0573,115.011,0.0427,38f21ed9-1d25-4d31-a180-3a02ce7ebe04
2241,45d36e52-31ba-4fce-96a9-f01e834cc354,0.93,0.601,0.095,0.000285,0.116,-18.478,0.0374,122.975,0.672,45d36e52-31ba-4fce-96a9-f01e834cc354
2242,3393ed2f-8150-4711-b535-052bc4917a2a,0.871,0.27,0.329,8.91e-06,0.12,-7.318,0.032,163.236,0.169,3393ed2f-8150-4711-b535-052bc4917a2a
2243,c6360399-93a7-4a2d-bcd6-4e06ced804be,0.374,0.69,0.748,0.0,0.605,-6.447,0.0432,110.102,0.906,c6360399-93a7-4a2d-bcd6-4e06ced804be
2244,0eb5d230-e9a4-4ec7-8a47-5a0358f62b2e,0.156,0.659,0.906,3.27e-06,0.105,-3.906,0.0428,94.997,0.792,0eb5d230-e9a4-4ec7-8a47-5a0358f62b2e
2245,90497c3f-f119-4979-898b-b4f3bee32714,0.941,0.775,0.194,0.00685,0.195,-16.883,0.0731,120.764,0.783,90497c3f-f119-4979-898b-b4f3bee32714
2246,f8d88dee-f8c5-4187-9f72-2253067a03ef,0.65,0.581,0.143,0.0,0.104,-16.273,0.0401,144.605,0.469,f8d88dee-f8c5-4187-9f72-2253067a03ef
2247,1b43e006-d335-4bdd-bbc1-652434ee88e1,0.659,0.532,0.495,0.0,0.0754,-6.662,0.0343,124.936,0.308,1b43e006-d335-4bdd-bbc1-652434ee88e1
2248,07a95417-fda7-4dff-b41d-141ba489546e,0.715,0.455,0.284,1.47e-06,0.0897,-10.774,0.0322,133.936,0.133,07a95417-fda7-4dff-b41d-141ba489546e
2249,ab7377ef-fa0f-4fcf-8cba-ee12d78b42c7,0.059,0.463,0.496,1.24e-06,0.271,-12.203,0.041,118.505,0.533,ab7377ef-fa0f-4fcf-8cba-ee12d78b42c7
2250,8e58f663-b1b2-4de7-a92e-6e6e2ef1577a,0.0325,0.551,0.807,0.102,0.296,-8.943,0.0622,126.91,0.592,8e58f663-b1b2-4de7-a92e-6e6e2ef1577a
2251,5777d66e-c0fd-41fe-83b8-5ce9d8db56dd,0.344,0.266,0.182,0.646,0.106,-15.988,0.0354,105.344,0.0613,5777d66e-c0fd-41fe-83b8-5ce9d8db56dd
2252,6ac86da1-4cdc-4dc4-b041-c08deb511671,0.96,0.493,0.214,0.97,0.131,-16.853,0.0303,150.0,0.0896,6ac86da1-4cdc-4dc4-b041-c08deb511671
2253,1fc0cb22-60ee-45b9-924a-7af4a6f7b6a4,0.00134,0.644,0.861,0.0,0.274,-6.053,0.0369,116.021,0.843,1fc0cb22-60ee-45b9-924a-7af4a6f7b6a4
2254,4997a8ec-630c-4cf8-93b1-a1483470dc1f,0.00474,0.557,0.859,5.79e-05,0.103,-6.557,0.0582,154.718,0.748,4997a8ec-630c-4cf8-93b1-a1483470dc1f
2255,6431575b-a9e1-4a8c-8d39-1a25bf8537d1,0.000287,0.526,0.885,0.0397,0.0907,-7.259,0.0362,164.144,0.496,6431575b-a9e1-4a8c-8d39-1a25bf8537d1
2256,df3d4b00-a6b0-4c92-a59d-f84ee7efc570,0.0887,0.558,0.924,0.00326,0.263,-2.312,0.0367,117.111,0.344,df3d4b00-a6b0-4c92-a59d-f84ee7efc570
2257,4448a4c7-f57f-41de-83d4-83161963f853,0.00119,0.54,0.884,0.000295,0.174,-5.942,0.256,120.439,0.338,4448a4c7-f57f-41de-83d4-83161963f853
2258,acfec947-e168-4a14-8006-4fbfc97b2180,0.161,0.615,0.476,0.0334,0.0946,-12.205,0.0337,91.584,0.611,acfec947-e168-4a14-8006-4fbfc97b2180
2259,6e54e40d-71af-4d01-a11e-53c5d9bad600,0.18,0.369,0.546,0.925,0.112,-10.049,0.0327,170.13,0.0518,6e54e40d-71af-4d01-a11e-53c5d9bad600
2260,2a169728-9b2b-40bc-9c69-1676eef18562,0.322,0.556,0.663,0.000773,0.129,-8.965,0.0261,113.118,0.446,2a169728-9b2b-40bc-9c69-1676eef18562
2261,145d3e3a-7a7d-49b2-b00e-cd1e9c304a5d,0.801,0.505,0.439,0.0217,0.104,-9.952,0.0268,134.194,0.0401,145d3e3a-7a7d-49b2-b00e-cd1e9c304a5d
2262,17541446-1188-4f59-85c6-0711ec304f85,0.741,0.487,0.22,4.9e-06,0.115,-11.67,0.0324,84.028,0.0965,17541446-1188-4f59-85c6-0711ec304f85
2263,7e3383b2-b821-43f0-b205-9c2bd0cca3e4,0.0298,0.635,0.806,0.000219,0.1,-6.343,0.0286,113.723,0.691,7e3383b2-b821-43f0-b205-9c2bd0cca3e4
2264,618578c8-9b26-4ce4-986e-71bfc8204860,0.476,0.61,0.494,0.0214,0.116,-10.197,0.0272,91.006,0.273,618578c8-9b26-4ce4-986e-71bfc8204860
2265,e386c6af-8051-4e72-a5b8-f6d079749dfe,0.902,0.574,0.0659,2.94e-05,0.11,-17.918,0.0453,82.71,0.23,e386c6af-8051-4e72-a5b8-f6d079749dfe
